"TSP","C.loss_Ma1","N.loss_Ma1","C.loss_Mi1","N.loss_Mi1","C.loss_CG","N.loss_CG","Castanea.henryi","Nyssa.sinensis","Liquidambar.formosana","Quercus.fabri","Lithocarpus.glaber","Quercus.serrata","Castanopsis.sclerophylla","Choerospondias.axillaris","Sapium.sebiferum","Koelreuteria.bipinnata","Sapindus.mukorossi","Cyclobalanopsis.glauca","Shima.Superba","Castanopsis.Myl","Rhus","Quercus.ac","Alniphylium","Cast.faargesii"
"1-E34",84.2213844217756,100,61.2485156876875,88.6653147145372,43.4649105132421,28.1118202519136,73.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10-G17",95.8871337169181,97.6190500314681,37.7193105236992,35.3774638417156,32.6340798016603,29.4365661406724,0,0,0,0,0,0,18.86,0,0,0,0,0,0,0,0,0,0,0
"100-Q21",44.1449103110784,44.4266990969002,69.6020408663795,63.8988902175609,38.8254755536702,31.4781750923668,0,0,0,61.86,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0
"101-Q21",60.6577365115621,70.3357008847417,44.4775977134976,43.9486125557924,41.173786349486,45.4132603441043,30.42,0,4.93,1.57,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0
"102-P26",51.1127981847317,60.62565533202,44.1929591485634,56.9970111301001,45.905804910427,57.0373770704934,0,0,0,0,0,64.77,0,0,0,0,0,0,0,0,0,0,0,0
"103-P26",74.6772048630984,77.7903195736193,48.1750209690003,49.1236774237429,39.2351129179713,46.37859736945,0,0,0,0,0,27.53,4.8,0,0,0,0,0,0,0,0,0,0,0
"105-O6",46.0767304402074,70.1907418477062,62.1457121794572,54.1663866481098,52.4833889035261,47.3601795717667,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0,0,0,0,0
"11-O27",55.4204077014204,63.735016585558,31.5764046909376,49.4732190100174,33.0693547743983,40.3737977712119,0,0,0,0,0,0,0,123.49,0,0,0,0,0,0,0,0,0,0
"113-H31",52.1937328355611,65.2470739262794,46.6725172740725,60.9573018011041,40.6694300934189,52.1804949294932,0,0,87.75,0,0,0,0,0,0,0,14.95,0,0,0,0,0,0,0
"115-T17",52.1887742889041,68.9297429873473,55.2168969065025,69.815118227465,49.8588650633054,49.0955144866807,0,0,275.71,0,0,0,0,0,0,0,16.79,0,0,0,0,0,0,0
